id,pid,ms_subclass,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,saleprice,overall_qual * gr_liv_area,exter_qual * gr_liv_area,gr_liv_area * kitchen_qual,bsmt_qual * gr_liv_area,overall_qual * 1st_flr_sf,overall_qual * kitchen_qual,overall_qual * exter_qual,overall_qual^2,overall_qual * total_bsmt_sf,overall_qual * garage_area,overall_qual * garage_cars,total_bsmt_sf * gr_liv_area,overall_qual * bsmt_qual,overall_qual * year_built,overall_qual * garage_yr_blt,overall_qual * totrms_abvgrd,gr_liv_area * garage_area,overall_qual * year_remod/add,gr_liv_area * garage_cars,garage_area * garage_cars,totrms_abvgrd * gr_liv_area,1st_flr_sf * total_bsmt_sf,garage_yr_blt * year_built,total_area,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,condition_2_Feedr,condition_2_Norm,condition_2_PosA,condition_2_PosN,condition_2_RRAe,condition_2_RRAn,condition_2_RRNn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
0,109,533352170,60,68.0,13517,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,2Story,6,8,1976,2005,Gable,CompShg,3,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,1,4,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,5,1976.0,2,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,0,0,0,3,2010,130500,8874,5916,5916,4437,4350,24,24,36,4350.0,2850.0,12.0,1072275.0,18,11856,11856.0,36,702525.0,12030,2958.0,950.0,8874,525625.0,3904576.0,4158.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,544,531379050,60,43.0,11492,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,2Story,7,5,1996,1997,Gable,CompShg,3,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,1,4,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,5,1997.0,2,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,0,0,0,4,2009,220000,14854,8488,8488,8488,6391,28,28,49,6391.0,3913.0,14.0,1937386.0,28,13972,13979.0,56,1186198.0,13979,4244.0,1118.0,16976,833569.0,3986012.0,5716.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,153,535304180,20,68.0,7922,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1953,2007,Gable,CompShg,0,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,1,1953.0,1,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,0,0,0,1,2010,109000,5285,3171,4228,3171,5285,20,15,25,5285.0,1230.0,5.0,1117249.0,15,9765,9765.0,25,260022.0,10035,1057.0,246.0,5285,1117249.0,3814209.0,3417.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,318,916386060,60,73.0,9802,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,5,5,2006,2007,Gable,CompShg,0,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,1,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,3,2007.0,3,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,0,0,0,4,2010,174000,7220,4332,4332,5776,3720,15,15,25,1920.0,2000.0,10.0,554496.0,20,10030,10035.0,35,577600.0,10035,2888.0,800.0,10108,285696.0,4026042.0,3672.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,255,906425045,50,82.0,14235,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,0,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,1,4,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,1,1957.0,1,2.0,484.0,3,3,N,0,59,0,0,0,0,0,0,0,0,3,2010,138500,8670,4335,4335,2890,4986,18,18,36,4056.0,2904.0,12.0,976820.0,12,11400,11742.0,36,699380.0,11958,2890.0,968.0,8670,561756.0,3718300.0,4050.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,138,535126040,20,137.0,16492,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,6,6,1966,2002,Gable,CompShg,0,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,1,4,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,5,1966.0,3,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,0,0,0,6,2010,190000,11328,7552,7552,5664,11328,24,24,36,9102.0,3468.0,12.0,2864096.0,18,11796,11796.0,36,1091264.0,12012,3776.0,1156.0,11328,2864096.0,3865156.0,5871.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2827,908186070,180,35.0,3675,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,3,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,1,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,4,2005.0,3,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,0,0,0,6,2006,140000,6432,3216,3216,4288,6432,18,18,36,3282.0,3150.0,12.0,586384.0,24,12030,12030.0,30,562800.0,12036,2144.0,1050.0,5360,586384.0,4020025.0,3216.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,145,535154050,20,68.0,12160,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1959,1959,Hip,CompShg,3,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,1,4,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,5,1959.0,2,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,3,0,0,5,2010,142000,5940,3564,3564,3564,5940,15,15,25,5940.0,2655.0,10.0,1411344.0,15,9795,9795.0,30,630828.0,9795,2376.0,1062.0,7128,1411344.0,3837681.0,4095.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1942,535353130,20,68.0,15783,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1952,1952,Gable,CompShg,0,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,1,4,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,1,1952.0,1,1.0,420.0,3,3,Y,0,324,0,0,0,0,0,3,2,400,6,2007,112500,4620,2772,2772,2772,4620,15,15,25,4620.0,2100.0,5.0,853776.0,15,9760,9760.0,30,388080.0,9760,924.0,420.0,5544,853776.0,3810304.0,3192.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,1956,535426130,60,70.0,11606,Pave,0,IR1,HLS,AllPub,Inside,Sev,1Fam,2Story,5,5,1969,1969,Gable,CompShg,3,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,1,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,5,1969.0,1,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,0,0,0,9,2007,135000,10400,6240,4160,8320,5200,10,15,25,5200.0,2520.0,10.0,2163200.0,20,9845,9845.0,45,1048320.0,9845,4160.0,1008.0,18720,1081600.0,3876961.0,5704.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
